Name,Latitude,Longitude,Location,Description,Ambience
The Breeze BSD City,-6.3013244,106.6533703,"Jl. BSD Raya Utama, BSD City, Tangerang, Banten",Mall with event and temporary exhibition area,"Mall, spacious, modern"
Giyanti Coffee Roastery,-6.1988632,106.8395423,"Jl. Surabaya No.20, Jakarta Pusat, DKI Jakarta",Café with specialty coffee and cozy ambiance,"Cozy, coffee-focused, trendy"
Mr. Fox,-6.226025,106.806536,"Jl. Pluit No.17, Jakarta Utara, DKI Jakarta",Café with modern concept and varied menu,"Modern, stylish, cozy"
The Cat Cabin,-6.2552548,106.8141571,"Jl. Mampang Prapatan No.8, Jakarta Selatan, DKI Jakarta",Café with a cat theme and a relaxed ambiance,"Cozy, unique, cat-friendly"
Pusat Kuliner Grogol,-6.1608563,106.7927658,"Jl. Grogol No.5, Jakarta Barat, DKI Jakarta",Eating place with various street food options and a lively atmosphere,"Busy, varied, casual"
Shabu Ghin,-6.2387429,106.8101754,"Jl. Puri Indah No.12, Jakarta Barat, DKI Jakarta",Japanese restaurant with various shabu-shabu options,"Cozy, Japanese, modern"
Balthazar Jakarta,-6.1944491,106.8229198,"Jl. Buncit No.3, Jakarta Selatan, DKI Jakarta",Dutch restaurant with gourmet menu and elegant ambiance,"Elegant, Dutch, modern"
Vong Kitchen,-6.225722,106.80817,"Jl. Taman Anggrek No.21, Jakarta Barat, DKI Jakarta",Restaurant with international menu and luxurious atmosphere,"Luxurious, international, modern"
The Royal Kitchen,30.560958,-97.6050201,"Jl. Sudirman No.33, Jakarta Pusat, DKI Jakarta",Restaurant with European menu and elegant ambiance,"Elegant, European, modern"
The French Baker,14.8368666,120.2829418,"Jl. Pantai Indah Kapuk No.12, Jakarta Utara, DKI Jakarta",French restaurant with various pastries and a relaxed atmosphere,"Relaxed, French, pastry"
Warung Nagih,-6.2401872,106.8220773,"Jl. Kapten Tendean No.41, Mampang, Jakarta",Casual eatery outdoor with a wide variety of affordable snacks and meals.,"Lively, casual"
Giyanti Coffee Roastery,-6.1988632,106.8395423,"Jl. Surabaya No.20, Menteng, Central Jakarta.",Popular spot for coffee enthusiasts; offers a peaceful setting with good internet.,"Relaxed, artsy with a hint of vintage charm."
Lucky Cat Coffee and Kitchen,-6.2213856,106.8337835,"Plaza Festival, South Jakarta.",Restaurant with trendy 24/7 café perfect for night owls.,"Modern, bustling with a stylish interior."
Djournal Coffee,-6.1948517,106.8203162,"Grand Indonesia, Central Jakarta",Restaurant with A vibrant spot with a passion for great coffee and music.,"Urban, lively with a casual feel."
Playparq,-6.262991,106.823713,"Jl. Kemang Timur No.72, Kemang, Jakarta",Outdoor playground with various play areas and activities for kids.,Energetic and adventurous
Miniapolis,-6.1922606,106.8217662,"Plaza Indonesia, Lantai 3, Jakarta Pusat",Indoor playground with a variety of rides and interactive games.,Cheerful and entertaining
Taman Mini Indonesia Indah,-6.3020386,106.8898924,"Jl. Raya Taman Mini, Jakarta Timur",Large cultural park with miniature traditional houses and educational exhibits.,Cultural and expansive
Pinisi Edutainment Park,-6.244253,106.802964,"Pasaraya Blok M, Lantai 9, Jakarta Selatan",Indoor theme park with cultural and educational activities for kids.,Creative and educational
Waterbom Jakarta,-6.1136559,106.7478596,"Pantai Indah Kapuk, Jakarta Utara","Large water park with slides, pools, and play areas for children.",Exciting and refreshing
Bounce Street Asia,-6.1477623,106.8962366,"Jl. Sentra Bisnis Artha Gading Blok D, Jakarta Utara",Indoor trampoline park with various bouncing activities and games.,Dynamic and energetic
Artha Gading Bowling,-6.1457646,106.89171,"Artha Gading Mall, Lt. 6, Jakarta Utara",Modern bowling alley with well-maintained lanes and a comfortable setting.,Modern and lively
Jaya Ancol Bowling Center,-6.1284624,106.8319296,"Ancol Taman Impian, Jakarta Utara",Spacious bowling center with numerous lanes and family-friendly facilities.,Spacious and family-friendly
Spincity Bowling Alley,-6.3027,106.6551,"Aeon Mall, Jl. BSD Raya Utama, Tangerang",Stylish bowling alley with cosmic bowling and a fun atmosphere.,Stylish and energetic
Jakarta Bowling Center,-6.2198692,106.8323493,"Jl. Cilandak KKO, Ragunan, Jakarta Selatan",Traditional bowling center with a friendly atmosphere and competitive leagues.,Traditional and friendly
Ragunan Zoo,-6.3059887,106.820353,"Jl. Harsono RM No.1, Ragunan, Jakarta Selatan","The largest zoo in Jakarta, home to over 3,000 animals, with vast green spaces and various facilities for visitors.",Spacious and natural
Faunaland Ancol,-6.1243125,106.8358125,"Taman Impian Jaya Ancol, Jakarta Utara","A unique zoo featuring exotic and rare animals, located within the Ancol Dreamland complex.",Exotic and engaging
Ocean Dream Samudra,-6.125018,106.8436004,"Taman Impian Jaya Ancol, Jakarta Utara","Marine-themed park with animal shows, including dolphins and sea lions, and interactive exhibits.",Marine-themed and lively
Jakarta Aquarium,-6.1749533,106.7900155,"Neo Soho Mall, Lantai LG 101, Jakarta Barat",Indoor aquarium and conservation center with diverse marine life and immersive exhibits.,Immersive and educational
Taman Mini Indonesia Indah,-6.3020386,106.8898924,"Jl. Raya Taman Mini, Jakarta Timur","Cultural and recreational park featuring a bird park, reptile park, and various animal exhibits.",Cultural and diverse
Taman Safari Indonesia,-6.7206492,106.9508355,"Jl. Raya Puncak No.601, Cisarua, Bogor","Safari park located near Jakarta, where visitors can drive through and observe animals in their natural habitats.",Natural and adventurous
Kebun Binatang Mini TMII,-6.3020386,106.8898924,"Taman Mini Indonesia Indah, Jakarta Timur","Small zoo within TMII, featuring various local and exotic animals, ideal for educational trips.",Educational and relaxed
SeaWorld Ancol,-6.126601,106.842958,"Taman Impian Jaya Ancol, Jakarta Utara","Large marine park with a variety of aquatic exhibits, including a touch pool and shark aquarium.",Aquatic and interactive
Taman Burung TMII,-6.3006394,106.9036959,"Taman Mini Indonesia Indah, Jakarta Timur",Extensive bird park with aviaries housing a wide range of bird species from Indonesia and beyond.,Serene and picturesque
Dunia Fantasi (Animal Encounter),-6.1253124,106.8335377,"Taman Impian Jaya Ancol, Jakarta Utara","Theme park with an animal encounter section, allowing visitors to interact with various animals.",Fun and interactive
Papaya Fresh Gallery,-6.8794796,107.5976294,"Blok M Square, Jl. Melawai Raya No. 7, Jakarta Selatan",Japanese-themed supermarket with a variety of Japanese food and products.,Unique and cultural
Hotel Indonesia Kempinski,-6.1956129,106.8223572,"Jl. MH Thamrin No. 1, Jakarta Pusat","Iconic luxury hotel with opulent rooms, top-notch amenities, and fine dining options.",Grand and luxurious
Fairmont Jakarta,-6.2220386,106.7990167,"Jl. Asia Afrika No. 8, Gelora Bung Karno, Jakarta Pusat","Prestigious hotel known for its luxurious rooms, spa services, and rooftop bar.",Prestigious and tranquil
Grand Hyatt Jakarta,-6.1936508,106.8221703,"Jl. MH Thamrin Kav. 28-30, Jakarta Pusat","Luxurious hotel featuring spacious suites, high-end dining, and extensive facilities.",Lavish and comfortable
Pacific Place Mall,-6.2244883,106.8102729,"SCBD, Jl. Jend. Sudirman Kav. 52-53, Jakarta Selatan","Premium shopping mall with a range of luxury brands, fine dining, and entertainment options.",Modern and exclusive
Alila SCBD Jakarta,-6.2254644,106.8087852,"SCBD Lot 11, Jl. Jend. Sudirman Kav. 52-53, Jakarta Selatan","Stylish hotel offering chic accommodations, rooftop pool, and gourmet dining.",Contemporary and elegant
The Dharmawangsa Jakarta,-6.2527304,106.8049327,"Jl. Brawijaya Raya No. 26, Kebayoran Baru, Jakarta Selatan","High-end boutique hotel with Javanese-inspired luxury, gardens, and top-notch service.",Serene and exclusive
"The Hermitage, a Tribute Portfolio Hotel",-6.1983176,106.8381196,"Jl. Cilacap No. 1, Menteng, Jakarta Pusat","Luxury hotel housed in a historic building, featuring refined rooms and a rooftop bar.",Historic and refined
Favehotel Kemang,-6.2777834,106.8114224,"Jl. Kemang Raya No. 8, Kemang, Jakarta Selatan",Stylish budget hotel with modern amenities and a convenient location.,Modern and casual
Ibis Jakarta Slipi,-6.1991623,106.7992083,"Jl. Slipi No. 34, Jakarta Barat",Comfortable hotel offering practical amenities and easy access to the city.,Simple and functional
